event_id,competition,season,home_team,away_team,kickoff,market,selection,odds,quote_timestamp,timestamp_timezone,available_at,source,source_dataset,bookmaker,temporal_basis,license,match_confidence,strict_status
btb-kaggle|1005231|t-1h,France: National,2015,Orleans,Sedan,2015-09-25T18:00:00.000Z,1X2,AWAY,6.71,2015-09-25T17:00:00.000Z,UTC,2015-09-25T17:00:00.000Z,kaggle-austro-beat-the-bookie,DATASET_031_BASE,Pinnacle,EXACT_RELATIVE,GPL-3.0-upstream+kaggle-redistribution; dump-not-in-git,MATCH_EXACT,STRICT
btb-kaggle|1005231|t-1h,France: National,2015,Orleans,Sedan,2015-09-25T18:00:00.000Z,1X2,DRAW,3.18,2015-09-25T17:00:00.000Z,UTC,2015-09-25T17:00:00.000Z,kaggle-austro-beat-the-bookie,DATASET_031_BASE,Pinnacle,EXACT_RELATIVE,GPL-3.0-upstream+kaggle-redistribution; dump-not-in-git,MATCH_EXACT,STRICT
btb-kaggle|1005231|t-1h,France: National,2015,Orleans,Sedan,2015-09-25T18:00:00.000Z,1X2,HOME,1.77,2015-09-25T17:00:00.000Z,UTC,2015-09-25T17:00:00.000Z,kaggle-austro-beat-the-bookie,DATASET_031_BASE,Pinnacle,EXACT_RELATIVE,GPL-3.0-upstream+kaggle-redistribution; dump-not-in-git,MATCH_EXACT,STRICT
btb-kaggle|1005250|t-1h,France: Ligue 1,2015,Reims,Lille,2015-09-25T18:30:00.000Z,1X2,AWAY,2.87,2015-09-25T17:30:00.000Z,UTC,2015-09-25T17:30:00.000Z,kaggle-austro-beat-the-bookie,DATASET_031_BASE,Pinnacle,EXACT_RELATIVE,GPL-3.0-upstream+kaggle-redistribution; dump-not-in-git,MATCH_EXACT,STRICT
btb-kaggle|1005250|t-1h,France: Ligue 1,2015,Reims,Lille,2015-09-25T18:30:00.000Z,1X2,DRAW,3.18,2015-09-25T17:30:00.000Z,UTC,2015-09-25T17:30:00.000Z,kaggle-austro-beat-the-bookie,DATASET_031_BASE,Pinnacle,EXACT_RELATIVE,GPL-3.0-upstream+kaggle-redistribution; dump-not-in-git,MATCH_EXACT,STRICT
btb-kaggle|1005250|t-1h,France: Ligue 1,2015,Reims,Lille,2015-09-25T18:30:00.000Z,1X2,HOME,2.76,2015-09-25T17:30:00.000Z,UTC,2015-09-25T17:30:00.000Z,kaggle-austro-beat-the-bookie,DATASET_031_BASE,Pinnacle,EXACT_RELATIVE,GPL-3.0-upstream+kaggle-redistribution; dump-not-in-git,MATCH_EXACT,STRICT
btb-kaggle|1005251|t-1h,France: National,2015,Strasbourg,Colmar,2015-09-25T18:30:00.000Z,1X2,AWAY,8.77,2015-09-25T17:30:00.000Z,UTC,2015-09-25T17:30:00.000Z,kaggle-austro-beat-the-bookie,DATASET_031_BASE,Pinnacle,EXACT_RELATIVE,GPL-3.0-upstream+kaggle-redistribution; dump-not-in-git,MATCH_EXACT,STRICT
btb-kaggle|1005251|t-1h,France: National,2015,Strasbourg,Colmar,2015-09-25T18:30:00.000Z,1X2,DRAW,3.8,2015-09-25T17:30:00.000Z,UTC,2015-09-25T17:30:00.000Z,kaggle-austro-beat-the-bookie,DATASET_031_BASE,Pinnacle,EXACT_RELATIVE,GPL-3.0-upstream+kaggle-redistribution; dump-not-in-git,MATCH_EXACT,STRICT
btb-kaggle|1005251|t-1h,France: National,2015,Strasbourg,Colmar,2015-09-25T18:30:00.000Z,1X2,HOME,1.53,2015-09-25T17:30:00.000Z,UTC,2015-09-25T17:30:00.000Z,kaggle-austro-beat-the-bookie,DATASET_031_BASE,Pinnacle,EXACT_RELATIVE,GPL-3.0-upstream+kaggle-redistribution; dump-not-in-git,MATCH_EXACT,STRICT
btb-kaggle|1005256|t-1h,England: Championship,2015,Fulham,QPR,2015-09-25T18:45:00.000Z,1X2,AWAY,2.82,2015-09-25T17:45:00.000Z,UTC,2015-09-25T17:45:00.000Z,kaggle-austro-beat-the-bookie,DATASET_031_BASE,Pinnacle,EXACT_RELATIVE,GPL-3.0-upstream+kaggle-redistribution; dump-not-in-git,MATCH_EXACT,STRICT
btb-kaggle|1005256|t-1h,England: Championship,2015,Fulham,QPR,2015-09-25T18:45:00.000Z,1X2,DRAW,3.58,2015-09-25T17:45:00.000Z,UTC,2015-09-25T17:45:00.000Z,kaggle-austro-beat-the-bookie,DATASET_031_BASE,Pinnacle,EXACT_RELATIVE,GPL-3.0-upstream+kaggle-redistribution; dump-not-in-git,MATCH_EXACT,STRICT
